Time,7Li,24Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
0.00828,200.0016,600.0144003,3000.360043,0,2400.230422,0,0,0,0,0
0.17853,400.0064001,800.0256008,1800.129609,200.0016,800.0256008,0,0,0,0,0
0.34874,200.0016,1200.057603,2600.270428,400.0064001,1800.129609,0,0,0,0,0
0.51894,200.0016,600.0144003,3400.462463,400.0064001,600.0144003,0,0,0,0,0
0.68917,0,400.0064001,1800.129609,200.0016,1000.040002,0,0,0,0,0
0.85945,0,400.0064001,2600.270428,200.0016,400.0064001,0,0,0,0,0
1.02959,400.0064001,400.0064001,2400.230422,600.0144003,2000.160013,0,0,0,0,0
1.19981,400.0064001,400.0064001,2200.193617,200.0016,1800.129609,0,0,0,0,0
1.37002,400.0064001,400.0064001,2800.313635,200.0016,800.0256008,0,0,0,0,0
1.54023,200.0016,200.0016,1200.057603,600.0144003,800.0256008,0,0,0,0,0
1.71046,200.0016,400.0064001,2800.313635,1200.057603,1400.078404,0,0,200.0016,0,0
1.88082,0,800.0256008,1400.078404,600.0144003,800.0256008,0,0,0,0,0
2.05106,400.0064001,1200.057603,2200.193617,400.0064001,1600.102407,0,200.0016,0,0,0
2.22125,0,800.0256008,2400.230422,600.0144003,1200.057603,0,0,0,0,0
2.39145,600.0144003,1000.040002,2200.193617,400.0064001,800.0256008,0,0,0,0,0
2.56176,400.0064001,1200.057603,2000.160013,0,1000.040002,0,0,0,0,0
2.73199,0,1600.102407,2600.270428,200.0016,800.0256008,0,0,0,0,0
2.90212,200.0016,1000.040002,1400.078404,0,1400.078404,0,0,0,0,0
3.07233,1000.040002,400.0064001,2800.313635,200.0016,1200.057603,0,0,0,0,0
3.24255,200.0016,600.0144003,1800.129609,200.0016,1400.078404,0,0,0,0,0
3.41276,0,1400.078404,2200.193617,200.0016,800.0256008,0,0,0,0,0
3.58305,400.0064001,1400.078404,2000.160013,0,1600.102407,0,0,0,0,0
3.75328,400.0064001,1000.040002,1000.040002,800.0256008,1600.102407,0,0,0,0,0
3.92342,600.0144003,800.0256008,3200.409652,600.0144003,1000.040002,0,0,0,0,0
4.09362,1000.040002,1400.078404,2600.270428,0,800.0256008,0,0,0,0,0
4.26385,400.0064001,600.0144003,2400.230422,0,1000.040002,0,0,0,0,0
4.43421,200.0016,3600.518475,3200.409652,1200.057603,2600.270428,5201.081825,0,200.0016,200.0016,200.0016
4.60443,200.0016,41067.35045,28833.21586,3000.360043,3400.462463,18814.14824,0,0,400.0064001,0
4.77465,800.0256008,25025.02503,35851.33912,2600.270428,10404.3282,44880.42572,0,200.0016,400.0064001,200.0016
4.94485,200.0016,21017.65483,58938.62364,1400.078404,8002.560819,95765.44092,0,0,600.0144003,200.0016
5.11506,0,31439.488,166096.2352,1400.078404,19615.37846,108468.5843,0,200.0016,2000.160013,0
5.28528,400.0064001,22219.73112,164880.2957,1200.057603,28031.39516,170150.2155,0,200.0016,3200.409652,400.0064001
5.45557,200.0016,18814.14824,270678.2389,800.0256008,26427.90787,241510.7751,0,400.0064001,1000.040002,200.0016
5.62571,200.0016,24023.06214,358261.5187,600.0144003,35249.63148,344482.2021,0,600.0144003,2200.193617,0
5.79592,0,19815.69403,282557.8667,3200.409652,81665.90418,407950.0459,0,0,2000.160013,200.0016
5.96613,200.0016,21217.99286,507497.1636,15409.49225,87102.4196,505623.4799,0,400.0064001,5401.166652,0
6.13633,400.0064001,19014.45098,466547.1437,10404.3282,137754.8968,1027143.529,0,800.0256008,2000.160013,0
6.30655,800.0256008,31238.98625,1039124.791,15209.24722,205881.6412,933608.4667,0,600.0144003,2400.230422,0
6.47684,200.0016,21418.33409,384627.8817,10204.1633,79854.25595,729058.6046,0,800.0256008,4000.640102,200.0016
6.64699,600.0144003,31840.50112,633243.6512,16410.76546,155561.9954,1078176.113,0,600.0144003,3400.462463,200.0016
6.81721,200.0016,16210.50441,441667.3451,12806.55696,142204.3076,851870.8482,0,800.0256008,4000.640102,200.0016
6.98741,200.0016,26628.33255,644813.1827,8202.690482,99796.79205,1132165.354,0,600.0144003,3400.462463,200.0016
7.15762,400.0064001,18012.96934,368760.2997,8602.959418,129062.8669,1076372.51,0,200.0016,2600.270428,0
7.32784,600.0144003,43074.08743,494387.1557,4600.846556,220121.218,1384874.119,0,800.0256008,2600.270428,0
7.49814,0,21017.65483,925673.0366,3200.409652,128254.6115,1504664.638,0,600.0144003,3200.409652,0
