Time,7Li,24Mg,43Ca,66Zn,85Rb,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
0.00824,400.0064001,800.0256008,1000.040002,0,0,1000.040002,0,0,0,0,0
0.17848,0,200.0016,2400.230422,600.0144003,0,1000.040002,0,0,0,0,0
0.34862,200.0016,1000.040002,2600.270428,600.0144003,0,1200.057603,0,0,0,0,0
0.519,200.0016,800.0256008,2200.193617,400.0064001,0,400.0064001,0,0,0,0,0
0.68921,200.0016,400.0064001,2400.230422,400.0064001,0,400.0064001,0,0,0,0,0
0.85951,200.0016,1600.102407,1600.102407,0,0,1600.102407,0,0,0,0,0
1.02974,400.0064001,1200.057603,2000.160013,200.0016,0,1600.102407,0,0,0,0,0
1.19987,800.0256008,600.0144003,2800.313635,0,0,1600.102407,0,0,0,0,0
1.37008,0,600.0144003,3200.409652,400.0064001,200.0016,1600.102407,0,0,0,0,0
1.5403,600.0144003,1000.040002,1800.129609,400.0064001,0,1800.129609,0,0,0,0,0
1.7105,200.0016,800.0256008,3200.409652,0,0,1200.057603,0,0,0,0,0
1.88089,200.0016,1200.057603,2400.230422,200.0016,0,1800.129609,0,0,0,0,0
2.05111,200.0016,800.0256008,4400.774536,600.0144003,0,600.0144003,0,0,0,0,0
2.22132,200.0016,400.0064001,2200.193617,0,0,1400.078404,0,0,0,0,0
2.39153,400.0064001,800.0256008,2800.313635,0,0,1400.078404,0,0,0,0,0
2.56176,200.0016,800.0256008,1400.078404,200.0016,0,600.0144003,0,0,0,0,0
2.73205,0,1800.129609,2000.160013,200.0016,0,1000.040002,0,0,0,0,0
2.9022,200.0016,800.0256008,2600.270428,400.0064001,400.0064001,400.0064001,0,0,0,0,0
3.07233,200.0016,1200.057603,2800.313635,0,0,2600.270428,0,0,0,0,0
3.24247,200.0016,800.0256008,2400.230422,200.0016,0,1800.129609,0,0,0,0,0
3.41268,0,1000.040002,2400.230422,600.0144003,0,800.0256008,0,0,0,0,0
3.58289,200.0016,400.0064001,3000.360043,0,0,2000.160013,0,0,0,0,0
3.7531,0,600.0144003,1800.129609,200.0016,0,1800.129609,200.0016,0,0,0,0
3.92339,400.0064001,1000.040002,3000.360043,200.0016,0,2600.270428,0,0,0,200.0016,0
4.0937,0,600.0144003,2000.160013,200.0016,0,1400.078404,0,0,0,0,0
4.26408,0,1000.040002,1600.102407,200.0016,0,1600.102407,0,0,0,0,0
4.43437,0,600.0144003,1200.057603,400.0064001,200.0016,2000.160013,600.0144003,200.0016,0,600.0144003,0
4.60461,0,25425.83265,5801.345912,1800.129609,6401.63882,2200.193617,3400.462463,0,200.0016,200.0016,400.0064001
4.77474,0,199580.679,2600.270428,16010.24656,400.0064001,1400.078404,1800.129609,0,0,200.0016,1800.129609
4.94511,200.0016,23221.5496,3200.409652,600.0144003,200.0016,1200.057603,800.0256008,0,200.0016,400.0064001,1000.040002
5.11533,200.0016,12606.3536,9203.386846,1400.078404,0,1800.129609,400.0064001,0,400.0064001,200.0016,0
5.28562,1000.040002,487109.6394,3000.360043,2400.230422,0,800.0256008,600.0144003,0,0,400.0064001,400.0064001
5.45576,200.0016,11004.84213,2600.270428,1000.040002,0,600.0144003,1600.102407,0,0,400.0064001,0
5.62598,0,13807.62181,2600.270428,2200.193617,0,3000.360043,5601.254681,0,0,200.0016,200.0016
5.7962,400.0064001,12406.15345,8002.560819,1000.040002,0,5601.254681,11004.84213,0,200.0016,800.0256008,200.0016
5.96642,0,20216.3348,22620.44889,4200.705719,200.0016,10604.49631,56125.72162,0,400.0064001,200.0016,800.0256008
6.13663,200.0016,15609.74048,81665.90418,2000.160013,200.0016,11004.84213,102821.1555,0,400.0064001,1600.102407,400.0064001
6.30693,800.0256008,22420.0884,127244.3655,1600.102407,0,19014.45098,231931.9182,0,0,3400.462463,0
6.47707,400.0064001,10804.66762,179276.4483,1800.129609,200.0016,65973.64263,204661.8543,0,400.0064001,1400.078404,600.0144003
6.64728,200.0016,22019.37705,260690.3241,1800.129609,0,40866.69445,310406.8294,0,200.0016,2000.160013,400.0064001
6.81749,200.0016,20216.3348,169947.4854,2400.230422,0,50903.43578,384834.0847,0,0,2600.270428,400.0064001
6.98773,400.0064001,40064.10256,464679.471,3000.360043,200.0016,67984.37362,460115.2019,0,0,3000.360043,200.0016
7.15793,0,34246.84969,276422.9615,2200.193617,200.0016,57130.25699,1055039.951,0,800.0256008,3800.577688,400.0064001
7.32822,0,46084.79602,630930.9974,3600.518475,0,96974.71028,848021.9026,0,200.0016,3000.360043,200.0016
7.49838,400.0064001,30036.04325,492515.3975,2200.193617,200.0016,129467.0141,1419334.406,0,400.0064001,7202.074197,200.0016
7.66859,600.0144003,51706.72268,710219.0922,2600.270428,0,135126.4397,1305378.082,0,400.0064001,2800.313635,0
7.83882,600.0144003,23021.17949,663135.4192,1000.040002,0,163664.4737,1316897.554,0,600.0144003,5201.081825,200.0016
8.00902,0,33444.6821,797024.8807,2200.193617,200.0016,124012.1238,1263814.767,0,400.0064001,6401.63882,0
8.17923,600.0144003,19415.06609,701760.879,2800.313635,0,135935.1372,1169907.572,0,1600.102407,5401.166652,400.0064001
8.34952,400.0064001,33645.21917,866421.6599,3200.409652,0,132296.4083,1084924.166,0,600.0144003,7602.311103,0
8.51974,400.0064001,24223.4483,695843.4404,2400.230422,400.0064001,180899.5826,1246388.497,0,2000.160013,4800.921777,0
8.68989,400.0064001,61149.20406,898577.0286,800.0256008,0,191455.0584,804906.6482,0,400.0064001,3800.577688,0
8.8601,200.0016,47289.28216,650075.5138,1800.129609,800.0256008,163056.6068,1484973.046,0,200.0016,5201.081825,0
9.03031,800.0256008,47891.56868,799580.602,1800.129609,0,123810.1364,991632.7736,0,400.0064001,3400.462463,0
