Time,7Li,24Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
10.05211,5001.0002,27430.06335,47088.52643,7001.960549,4800.921777,31439.488,600.0144003,400.0064001,4600.846556,6001.440346
10.22232,6401.63882,26227.48641,48092.33729,6201.537981,7802.43436,33645.21917,400.0064001,800.0256008,9803.843106,6601.74286
10.39253,5201.081825,31840.50112,74219.69028,4400.774536,7001.960549,26227.48641,200.0016,1000.040002,12205.95651,6001.440346
10.56274,6401.63882,30637.5003,75628.09433,8402.823349,6601.74286,39060.93506,0,1600.102407,11405.20077,7202.074197
10.73298,7001.960549,34447.39962,86699.63393,4600.846556,3800.577688,31840.50112,2000.160013,1800.129609,15009.0054,6201.537981
10.90328,7001.960549,20216.3348,63963.23417,8402.823349,5401.166652,46285.53567,600.0144003,1600.102407,7402.191049,6201.537981
11.07341,7001.960549,28632.75587,55924.82421,4400.774536,6401.63882,27029.19153,400.0064001,1600.102407,10604.49631,6001.440346
11.24364,5601.254681,24824.62603,73817.31818,4400.774536,7802.43436,27630.50408,1200.057603,1600.102407,9403.535729,7202.074197
11.41385,7001.960549,35450.19748,72006.80354,5801.345912,6801.850103,34647.95277,1400.078404,1000.040002,9603.687816,7402.191049
11.58406,4800.921777,24223.4483,56326.62225,8002.560819,5401.166652,35851.33912,1200.057603,200.0016,9203.386846,8402.823349
11.7543,7602.311103,24423.83767,80256.82183,5801.345912,6201.537981,50903.43578,1600.102407,2400.230422,14808.76679,6601.74286
11.9246,5001.0002,28432.29909,77237.89271,4800.921777,5401.166652,38057.84793,800.0256008,800.0256008,13607.40243,7202.074197
12.09474,6801.850103,23622.29945,77237.89271,6401.63882,7001.960549,35049.0687,1200.057603,800.0256008,10404.3282,5001.0002
12.26497,6401.63882,35249.63148,76634.1941,3800.577688,7802.43436,32843.09013,1200.057603,1600.102407,9003.241167,9003.241167
12.43519,7202.074197,34848.50912,67984.37362,4600.846556,7202.074197,39060.93506,1000.040002,2600.270428,11805.57223,3400.462463
12.60541,7001.960549,30236.52572,57933.94328,5801.345912,5601.254681,44278.28401,600.0144003,1400.078404,8602.959418,6401.63882
12.77564,6001.440346,37456.03423,79451.703,7001.960549,7202.074197,41268.00968,600.0144003,1600.102407,12606.3536,7202.074197
12.94593,6601.74286,20616.9884,92944.26556,5401.166652,6201.537981,31238.98625,1400.078404,2400.230422,10204.1633,5601.254681
13.11608,6001.440346,27430.06335,78042.86941,5601.254681,5201.081825,39662.82592,400.0064001,2200.193617,10204.1633,5801.345912
13.28631,6601.74286,28231.84552,75024.47322,4600.846556,7602.311103,28632.75587,1000.040002,2600.270428,11605.3849,6601.74286
13.45653,8602.959418,30437.01141,79049.16296,3000.360043,6201.537981,28632.75587,1000.040002,3600.518475,16210.50441,9003.241167
13.62667,6601.74286,28231.84552,69392.07727,6201.537981,8803.098691,35851.33912,1200.057603,1400.078404,14408.29918,10604.49631
13.79696,12606.3536,34246.84969,83880.49638,4000.640102,7001.960549,43475.47342,1000.040002,2000.160013,22219.73112,7602.311103
