Time,7Li,24Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
0.00824,200.0016,6201.537981,1600.102407,4200.705719,1600.102407,0,0,0,0,0
0.17846,0,4000.640102,4400.774536,3400.462463,2800.313635,0,0,0,0,0
0.3487,0,3800.577688,4000.640102,3400.462463,2000.160013,0,0,0,0,0
0.51884,200.0016,4600.846556,3200.409652,2000.160013,1600.102407,0,0,0,0,0
0.68905,0,3800.577688,4600.846556,1400.078404,2400.230422,0,0,0,0,0
0.85929,0,4600.846556,3000.360043,2800.313635,1800.129609,0,0,0,0,0
1.0295,0,5601.254681,3800.577688,2200.193617,2800.313635,0,0,0,0,0
1.19978,0,6801.850103,2800.313635,3800.577688,3200.409652,0,0,0,0,0
1.37001,0,5201.081825,1800.129609,2000.160013,4000.640102,0,0,0,0,0
1.54014,0,5801.345912,2800.313635,2800.313635,1600.102407,0,0,0,0,0
1.71052,0,6401.63882,2600.270428,3600.518475,1400.078404,0,0,0,0,0
1.88074,0,5801.345912,2600.270428,2600.270428,2600.270428,0,0,0,0,0
2.05104,200.0016,5201.081825,2600.270428,2000.160013,2000.160013,0,0,0,0,0
2.22118,0,5601.254681,2400.230422,3000.360043,1600.102407,0,0,0,0,0
2.39141,0,5001.0002,4800.921777,3400.462463,2200.193617,0,0,0,0,0
2.56161,0,5601.254681,3200.409652,2600.270428,1800.129609,0,0,0,0,0
2.73182,200.0016,6601.74286,2800.313635,2400.230422,1400.078404,0,0,0,0,0
2.90204,0,6801.850103,1800.129609,3200.409652,2200.193617,0,0,0,0,0
3.07233,0,5801.345912,3600.518475,2400.230422,2000.160013,0,0,0,0,0
3.24248,0,7602.311103,1800.129609,1600.102407,1400.078404,0,0,0,0,0
3.41269,0,5001.0002,2200.193617,3200.409652,2000.160013,0,0,0,0,0
3.58291,0,4800.921777,3000.360043,2600.270428,3400.462463,0,0,0,0,0
3.75311,0,4600.846556,3600.518475,2200.193617,1800.129609,0,0,0,0,0
3.92332,200.0016,4400.774536,3200.409652,1800.129609,1200.057603,0,0,0,0,0
4.09362,0,6801.850103,2200.193617,2800.313635,3200.409652,0,0,0,0,0
4.26375,0,4200.705719,1800.129609,3400.462463,2200.193617,0,0,0,0,200.0016
4.43398,0,5001.0002,2200.193617,3000.360043,2600.270428,0,0,0,0,0
4.6042,0,4600.846556,3400.462463,3600.518475,3400.462463,0,0,0,0,0
4.77444,0,5201.081825,4200.705719,3600.518475,2000.160013,0,0,0,0,0
4.94463,0,4800.921777,2600.270428,1600.102407,3200.409652,0,0,0,0,0
5.115,0,6201.537981,2000.160013,3600.518475,3400.462463,0,0,0,0,0
5.28522,0,5801.345912,2000.160013,3200.409652,3200.409652,3600.518475,0,1200.057603,3400.462463,1600.102407
5.45544,1600.102407,10735181.39,78646.63585,5201.081825,10404.3282,100401.6064,200.0016,3800.577688,212415.7573,145036.5709
5.62564,2400.230422,10035278.25,128456.6705,6201.537981,6601.74286,46285.53567,600.0144003,1000.040002,28632.75587,15209.24722
