Time,7Li,24Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
9.71077,3400.462463,120578.7781,62556.14013,9203.386846,5001.0002,22820.81258,0,800.0256008,9003.241167,9803.843106
9.88106,7001.960549,76432.96769,73616.13698,9803.843106,9603.687816,28031.39516,1200.057603,1200.057603,10404.3282,9403.535729
10.05119,8602.959418,45884.0596,79652.97786,9403.535729,6401.63882,40264.74571,800.0256008,2400.230422,17211.84175,8202.690482
10.22144,5201.081825,56326.62225,90123.72442,8803.098691,8002.560819,39863.46263,2200.193617,600.0144003,11205.01985,8803.098691
10.39164,9003.241167,36854.24946,98184.09618,8402.823349,10604.49631,36854.24946,1400.078404,3200.409652,9803.843106,7001.960549
10.56194,8602.959418,35049.0687,71001.07504,7802.43436,9003.241167,47490.04112,1800.129609,1800.129609,12005.76277,10404.3282
10.7321,7802.43436,35650.76669,80055.53727,8803.098691,7001.960549,40666.04165,1400.078404,2000.160013,11004.84213,6601.74286
10.90231,7802.43436,22820.81258,73616.13698,7001.960549,8602.959418,44679.7086,1800.129609,1000.040002,13206.97328,5201.081825
11.07253,5601.254681,35450.19748,94757.80547,7802.43436,9603.687816,39662.82592,1400.078404,2800.313635,11405.20077,7202.074197
11.24284,13407.18625,38258.45893,96168.51776,8002.560819,10204.1633,46887.77391,600.0144003,4000.640102,22620.44889,10004.0016
11.41298,7202.074197,36453.07568,90325.17061,9203.386846,7402.191049,40064.10256,1000.040002,1800.129609,12205.95651,6201.537981
11.58319,6401.63882,25425.83265,78646.63585,6401.63882,6601.74286,40465.39207,1200.057603,1400.078404,11805.57223,6401.63882
11.75343,6201.537981,31639.99295,83880.49638,5801.345912,7602.311103,48493.88416,2400.230422,2200.193617,20016.01281,9003.241167
11.9238,8602.959418,27430.06335,95563.90736,6001.440346,8602.959418,55723.93002,800.0256008,3000.360043,15409.49225,9203.386846
12.094,9403.535729,38258.45893,91735.38457,8803.098691,12005.76277,38258.45893,1000.040002,3000.360043,18814.14824,9603.687816
12.26424,10804.66762,33645.21917,71001.07504,6201.537981,9203.386846,39261.56213,600.0144003,2800.313635,13607.40243,7402.191049
12.43452,8602.959418,25425.83265,95966.97772,8202.690482,7602.311103,43074.08743,1200.057603,2000.160013,16410.76546,7402.191049
