Fish_ID,transect_leg,core,ann_1,ann_2,ann_3,ann_4,ann_5,ann_6,ann_7,ann_8,ann_9,ann_10
DV_1,left,0,0.303571429,0.544642857,0.696428571,0.803571429,0.875,0.919642857,1,,,
DV_2,left,0,0.24449195,0.292864545,0.397831848,0.493336823,0.593232016,0.717705116,0.831849675,1,,
DV_3_redo,left,0,0.465954244,0.600874467,0.694259,0.694259,0.748817839,0.881053323,1,,,
DV_4,left,0,0.240843312,0.477685745,0.712385143,0.777561977,0.777058353,0.882131905,1,,,
DV_6,left,0,0.380946,0.584343,0.702896,0.800056,0.918061,1,,,,
DV_7,right,0,0.299285,0.460105,0.62489,0.752048,0.857059,0.952353,1,,,
DV_8,right,0,0.361,0.434775,0.591525,0.720165,0.825011,0.929322,1,,,
DV_9,left,0,0.223515,0.404349,0.451409,0.506727,0.619231,0.620409,0.745937,0.873957,0.948981,1
DV_10,left,0,0.144763,0.236029,0.394019,0.510069,0.707038,0.828653,0.927646,1,,
DV_11,right,0,0.271964,0.309163,0.45733,0.590471,0.724067,1,,,,
DV_12_redo,left,0,0.288077,0.478971,0.543758,0.622868,0.761762,0.837462,0.930892,1,,
DV_13,left,0,0.390527,0.626817,0.804074,0.935613,1,,,,,
DV_14,left,0,0.245651,0.344495,0.49938,0.625652,0.789382,1,,,,
DV_15,right,0,0.406884,0.473698,0.605261,0.777332,1,,,,,
DV_16_redo,right,0,0.336159,0.410196,0.558977,0.720768,0.876055,1,,,,
DV_17,left,0,0.386811,0.477758,0.558812,0.654703,0.738257,0.837243,0.92822,1,,
DV_18,NA,0,,,,,,,,,,
DV_21,NA,0,,,,,,,,,,
DV_22,right,0,0.109655,0.281147,0.348666,0.466733,0.501859,0.591813,0.83354,1,,
DV_25,right,0,0.349438,0.439794,0.631954,0.789074,1,,,,,
DV_26,left,0,0.242481,0.410572,0.476564,0.579528,0.682956,0.796063,0.936305,1,,
DV_28,right,0,0.201307,0.363344,0.429338,0.583072,0.764542,0.842923,1,,,
DV_29,left,0,0.287956,0.419167,0.783864,0.928843,1,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
